finding_id,case,claim,observed_evidence,source_type,evidence_grade,supported_inference,counterevidence,verdict,verdict_scope,not_established,limitation,primary_source,source_status,raw_evidence,synthesis_basis,status
GRASS-01,GRASS,"The underlying GRASS market move occurred","The asset showed the material market movement underlying the viral performance narrative","Market / on-chain data",E3,"The underlying market event was real","Asset movement does not identify which actor captured the move",CONFIRMED,"Underlying asset movement only","Agent participation; claimed entry; claimed exit; claimed profit","Historical market movement alone cannot reconstruct actor performance","GRASS contract: 0x16391C40e85FB2246A2C8c17bfA2594C5d3EF84b","PRIMARY-LIVE","","",LOCKED
GRASS-02,GRASS,"An autonomous Grok agent turned 0.3 ETH into approximately 19.7 ETH","A public first-person performance claim and video describe the trade, but no public trading wallet plus entry and exit transaction path was identified","Original public claim / video",E1,"The performance claim was publicly made","The underlying token movement was real",UNVERIFIED,"Historical agent-performance claim only","That the trade was false; that it never occurred; intent or fabrication","Failure to reconstruct is not proof of non-occurrence","https://x.com/0xzynex/status/2094146175888691603","PRIMARY-CAPTURED","evidence/raw/video/grass-original.mp4","",LOCKED
GRASS-03,GRASS,"The published GRASS safety description accurately represented the token's launch architecture","The claim described an LP-burn style safety property while Pons v2 documentation describes bonding-curve graduation into permanently locked full-range Uniswap v4 liquidity","Primary protocol documentation + public claim",E3,"The published safety wording did not cleanly match the documented launch architecture","Individual security properties may still have been valid; wording may have been generic","MATERIAL MISMATCH","Technical description only","Fabrication; malicious intent; invalidity of every safety check","The mismatch does not independently establish whether the trade occurred","https://docs.ponsfamily.com/v2","PRIMARY-LIVE","","",LOCKED
PROV-01,MEMEMOON,"Multiple accounts independently reported their own MEMEMOON bot-performance event","Highly specific first-person performance narratives appeared across multiple accounts with the same unusual trade details and small mutations","Original / archived public posts",E2,"The apparent independence of the published narratives is materially weakened","Some instances may be affected by repost or archive ambiguity","PROVENANCE FAILURE","Content provenance only","Common account control; coordinated fraud; fabrication of the underlying trade; shared wallet control","Direct-original captures are preferred over archives where available","https://x.com/0xzynex/status/2093277608632893471","PRIMARY-CAPTURED","evidence/raw/x/mememoon-zynex.png | evidence/raw/x/mememoon-backwood.png","",LOCKED
PROV-02,MEMEMOON / Zynex,"The published Zynex MEMEMOON execution description is internally consistent","The same first-person account states a 0.5 SOL entry and later states that position size never exceeds 0.1 SOL","Public claim comparison",E1,"The published description contains a material internal contradiction","An undocumented configuration change or exception could theoretically explain the difference",INCONSISTENT,"Published Zynex claim only","Fabrication; non-occurrence of the trade; common control","No transaction-level reconstruction was completed","https://x.com/0xzynex/status/2093277608632893471","PRIMARY-CAPTURED","evidence/raw/x/mememoon-zynex.png","",LOCKED
VAL-01,KITSUNE,"The KITSUNE autonomous-trading claim can be independently reconstructed","The claim gives precise entry size, market-cap levels, profit and audit language, but the reviewed material did not provide a unique contract, trading wallet, buy hash and sell hash","Public performance claim",E1,"The claim has substantially greater precision than its available audit trail","Missing public identifiers do not prove the event did not occur","NON-REPRODUCIBLE","Publicly reconstructible historical performance only","That the claim was false; that no KITSUNE trade occurred","Underlying token identity remained unresolved in the reviewed evidence","Enko KITSUNE public post","ARCHIVED-CORROBORATION","evidence/raw/x/kitsune-enko.png","",LOCKED
ARITH-01,GRASS / KITSUNE,"Claimed realized profits closely track headline market-cap multiples","For both claims, multiplying entry capital by the stated market-cap multiple produces a result close to the claimed realized return","Derived arithmetic",E1,"The similarity is an indicator warranting provenance and execution scrutiny","Fees; slippage; liquidity; partial exits; position mechanics can create legitimate differences",SUPPORTED,"Arithmetic pattern only","Fabrication; templating; common operator; false performance","Arithmetic similarity is not transaction evidence","Derived from published GRASS and KITSUNE figures","DERIVED","","GRASS-02|VAL-01",LOCKED
AMP-01,RoundtableSpace,"RoundtableSpace amplified a Grok-agent token-factory narrative later referenced downstream","A captured RoundtableSpace post amplified the narrative and FACTORY metadata later referenced the same status ID","Original public post + token metadata",E2,"Amplification increased distribution and later became part of downstream provenance","RoundtableSpace covers a broad range of AI and technology content and is not reducible to this category",SUPPORTED,"Public amplification and downstream provenance only","Financial coordination; knowledge of falsity; payment; token-launch participation","Reach effects are not independently quantified","https://x.com/RoundtableSpace/status/2093824765785976942","PRIMARY-CAPTURED","evidence/raw/x/roundtablespace-2093824765785976942.png","FACTORY-01",LOCKED
FACTORY-01,FACTORY,"Amplified Enko / AI-agent material became part of a tradable token's public provenance","FACTORY metadata referenced Enko material, Enko's GitHub identity and a specific RoundtableSpace post","Primary token metadata",E3,"Upstream creator and amplifier content was incorporated into the asset's metadata layer","Metadata citation does not show who approved or requested the references",CONFIRMED,"Token metadata provenance only","That Enko created the token; that RoundtableSpace created or approved it; that either received compensation","Metadata does not establish off-chain relationships or intent","Pump.fun FACTORY listing / metadata","PRIMARY-CAPTURED","evidence/raw/metadata/factory-pumpfun-01.png | evidence/raw/metadata/factory-pumpfun-02.png","AMP-01",LOCKED
ECON-01,Pump.fun,"Pump.fun supports creator-fee and fee-sharing infrastructure","Primary Pump.fun documentation describes creator-fee and sharing mechanisms including configurable recipients","Primary protocol / platform documentation",E3,"The platform provides technical infrastructure capable of routing creator-related fees","Protocol capability does not establish that any specific token used the mechanism or that any named recipient was paid",CONFIRMED,"Protocol capability only","Specific token configuration; specific payout; amount received; beneficiary identity","Mint-specific configuration and payout require separate reconstruction","https://github.com/pump-fun/pump-public-docs/blob/main/docs/instructions/CREATOR_FEE_SHARING.md","PRIMARY-LIVE","","",LOCKED
SPIDER-01,SPIDER,"The SPIDER creator participated in the token launch from the outset","Phosphen publicly stated that he did not deploy the token and learned about it from someone in his replies","Creator statement",E1,"The available public statement is inconsistent with assuming creator-origin launch participation","Private prior communication cannot be fully excluded from the public record",NOT ESTABLISHED,"Pre-launch creator participation only","Absence of all prior communication; identity of token launcher; common control; motive","Creator statement is not a complete private communication record","Phosphen public SPIDER statement","PRIMARY-CAPTURED","evidence/raw/x/spider-phosphen-origin.png","",LOCKED
SPIDER-02,SPIDER,"The public SPIDER chronology shows creator association occurring after third-party tokenization","Creator statement indicating third-party launch was followed by public claim / onboarding posts and creator publication of the same token identifier","Creator statement + public provenance",E2,"The public record is consistent with post-launch creator onboarding","The public record does not provide a complete private communication history",SUPPORTED,"Public post-launch onboarding chronology only","Pre-launch coordination; common control; verified creator-fee payout; identity of launcher; motive","Chronology is based on public content rather than complete private communications","SPIDER mint: 6m6hkSNrZ1FxuLLdbcf9UAraPvUZMgfcCSsx3hh4pump","PRIMARY-CAPTURED","evidence/raw/x/spider-phosphen-origin.png | evidence/raw/x/spider-orbital-claim.png | evidence/raw/x/spider-orbital-onboarded.png","SPIDER-01",LOCKED
SPIDER-03,SPIDER,"Creator fees from SPIDER were paid to Phosphen","Public statements describe creator-fee routing and later claim / onboarding, but no complete mint-to-recipient payout path was reconstructed","Public statements",E1,"A payout is publicly asserted but not independently reconstructed","Protocol capability exists, but mint-specific configuration and recipient wallet were not reconstructed",UNVERIFIED,"Specific SPIDER creator-fee payout only","Amount paid; recipient wallet; claim transaction; payout timing","Public claim does not equal end-to-end payout verification","SPIDER public fee-routing statements","PRIMARY-CAPTURED","evidence/raw/x/spider-phosphen-origin.png | evidence/raw/x/spider-orbital-claim.png","ECON-01|SPIDER-02",LOCKED
REAPER-01,REAPER,"The REAPER creator participated in the token launch from the outset","Kai publicly described REAPER as something someone else had launched as support","Creator statement",E1,"The creator's public account is consistent with third-party launch before later adoption","Private communication or prior awareness cannot be fully excluded",NOT ESTABLISHED,"Pre-launch creator participation only","Absence of all prior communication; identity of launcher; common control; payout; motive","Creator statement is not a complete private communication record","REAPER mint: FRPV7Df98MRYLQus6LvJHkjWukUai9wonumScVcypump","PRIMARY-CAPTURED","evidence/raw/x/reaper-kai-origin.png","",LOCKED
REAPER-02,REAPER,"The public REAPER chronology is consistent with creator onboarding after launch","Kai described the token as externally launched and subsequent Orbital material described the creator as having tapped in / claimed","Creator statement + public chronology",E2,"The observable public chronology supports post-launch creator adoption / onboarding","The public record does not provide a complete private communication history",SUPPORTED,"Public post-launch creator-onboarding chronology only","Pre-launch non-coordination as an absolute fact; identity of launcher; common control; verified payout; motive","Public chronology supports sequence but not every economic detail","REAPER mint: FRPV7Df98MRYLQus6LvJHkjWukUai9wonumScVcypump","PRIMARY-CAPTURED","evidence/raw/x/reaper-kai-origin.png | evidence/raw/x/reaper-orbital-claimed.png","REAPER-01",LOCKED
REAPER-03,REAPER,"Creator fees from REAPER were paid to Kai","Public statements describe fee redirection and later claim, but the complete payout path was not reconstructed","Public statements",E1,"A payout is publicly asserted but not independently reconstructed","Protocol capability exists, but recipient mapping and claim transaction were not reconstructed",UNVERIFIED,"Specific REAPER creator-fee payout only","Actual recipient wallet; amount received; exact claim transaction; pre-launch financial relationship","No end-to-end payout reconstruction","REAPER public fee-routing / claim statements","ARCHIVED-CORROBORATION","evidence/raw/x/reaper-orbital-claimed.png","ECON-01|REAPER-02",LOCKED
ONBOARD-01,SPIDER / REAPER,"Post-launch creator onboarding is observable across more than one independent case","SPIDER and REAPER each show a public chronology in which a creator describes a token as externally initiated and is subsequently shown publicly associated with the same token","Cross-case synthesis",E2,"A recurring post-launch onboarding mechanism is supported in the observed cases","The public record cannot exclude private pre-launch contact in either case","STRONGLY SUPPORTED","Recurring post-launch onboarding mechanism in observed cases","Universal prevalence; single operator; common control; verified payouts; fraudulent intent","Only two directly adjudicated creator cases support this synthesis","SPIDER-02 + REAPER-02","DERIVED","","SPIDER-01|SPIDER-02|REAPER-01|REAPER-02",LOCKED
WALLET-01,HAh7q repeat-launch wallet,"The same Pump.fun creator address launched more than one identified token connected to AI / Grok narratives or builders","The creator address HAh7q881D5qUiXuHCZQXx7PcQQWiyHWE3fVXF5j8khpV is associated with multiple identified token launches including FACTORY and other AI / Grok-linked assets","Wallet / platform metadata",E3,"The same creator wallet repeatedly participated in multiple identified launches","A complete historical launch census has not been reconstructed",CONFIRMED,"Repeat creator-wallet attribution across identified tokens only","Complete number of launches; prevalence; automation; creator authorization; common control; fraudulent intent","Wallet attribution does not identify the natural person controlling the wallet","HAh7q881D5qUiXuHCZQXx7PcQQWiyHWE3fVXF5j8khpV","PRIMARY-LIVE","","FACTORY-01",LOCKED
